Evento C1 Duración_(min)_pl "Intensidad_media pl" Intensidad_máxima_pl Intensidad_continuap_pl C_(mm_est Duración_(min)_esta Intensidad_media_est Intensidad_máxima_est Intensidad_continua_est Hs_5cm Hs_40_cm Hs_60 Hs_80 Hs_100 "Lluvia antecedent_24 horas_pluv" "Lluvia antecedent_24_horas_esta" "Lluvia antecedent_48_horas_pluv" Lluvia_antecedent_48_horas_est Qmax Trespuesta_(min)_plub Trespuesta_est Q_inicial
"Evento 1" 16,382444698 55 17,8717578523636 399,1485466875 27,13218444 12,66 55 13,8109090909091 93,85 46,64 0,355535345 0,490272673 0,519178508 0,535342578 0,503777396 16,3824447 13 19,46011325 13,4 17,24633167 105 100 6,854821113
"Evento 2" 15,82710759 35 27,13218444 312,33 27,13218444 14,8 40 22,2 84,375 12,96 0,357888824 0,495030112 0,524896608 0,540182476 0,506061835 56,08904795 50,2 56,08904795 50,2 20,28040291 115 125 7,080917495
"Evento 3" 54,7007051640001 1125 2,91737094208001 138,83 11,2858831707097 47 1125 2,50666666666667 109,375 10,4516129032258 0,362595781 0,505496504 0,537285885 0,552282239 0,51405745 56,08904795 50,2 56,08904795 50,2 30,66756 105 105 7,092905516
"Evento 4" 13,883427708 105 7,93338726171428 86,7714231875 7,93338726171428 12,4 95 7,83157894736842 28,125 11,328 0,379070131 0,515011415 0,553487207 0,572851791 0,534617597 0 0 0 0 15,66335772 70 65 9,32851708
"Evento 5" 5,553371082 60 5,553371082 104,1257078125 8,55428571428571 5 50 6 21,875 12,5 0,41672583 0,545459077 0,576359707 0,598261283 0,557462184 23,32415854 18,2 60,80941334 50,8 16,91 75 80 13,08545527
"Evento 6" 24,4348327694304 340 4,31202931225242 173,542846375 15,2025 23,4 400 3,51 44,7916666666667 17,1692307692308 0,383777109 0,520720335 0,559205341 0,581321622 0,542613213 3,332022648 2,8 3,332022648 2,8 23,8935222765016 320 325 11,80995624
"Evento 7" 3,054354095 55 3,33202264909091 69,4171385625 6 2,8 65 2,58461538461539 11,4583333333333 8,8 0,39789798 0,535944199 0,576359707 0,598261283 0,550608828 26,6561812 24,2 29,98820385 27 14,28 75 80 12,88688288
"Evento 8" 19,43679879 85 13,7200932635294 312,37 27,6 15,4 45 20,5333333333333 66,66665 51,2 0,400251459 0,528332284 0,568735552 0,59463135 0,551751047 20,26980446 19,2 46,92598566 43,4 36,39 55 60 13,01471723
"Evento 9" 5,27570253 25 12,661686072 69,4171385625 12,661686072 5 35 8,57142857142857 25 19,2 0,423786265 0,537847161 0,578265729 0,60068121 0,560888882 9,718399394 9 29,98820385 28,2 16,53 45 50 13,70947029
"Evento 10" 3,609691202 50 4,3316294424 34,70856925 4,98 3,4 65 3,13846153846154 8,33333333333333 5,48571428571429 0,421432787 0,541653119 0,579218774 0,601891216 0,560888882 9,718399394 9 29,98820385 28,2 17,00642229 80 85 14,35542148
