Evento C1 Duración_(min)_pl "Intensidad_media pl" Intensidad_máxima_pl Intensidad_continuap_pl C_(mm_est Duración_(min)_esta Intensidad_media_est Intensidad_máxima_est Intensidad_continua_est "Lluvia antecedent_24 horas_pluv" "Lluvia antecedent_24_horas_esta" "Lluvia antecedent_48_horas_pluv" Lluvia_antecedent_48_horas_est Qmax Trespuesta_(min)_plub Trespuesta_est Q_inicial
"Evento 1" 16,382444698 55 17,8717578523636 399,1485466875 27,13218444 12,66 55 13,8109090909091 93,85 46,64 16,3824447 13 19,46011325 13,4 17,24633167 105 100 6,854821113
"Evento 2" 15,82710759 35 27,13218444 312,33 27,13218444 14,8 40 22,2 84,375 12,96 56,08904795 50,2 56,08904795 50,2 20,28040291 115 125 7,080917495
"Evento 3" 54,7007051640001 1125 2,91737094208001 138,83 11,2858831707097 47 1125 2,50666666666667 109,375 10,4516129032258 56,08904795 50,2 56,08904795 50,2 30,66756 105 105 7,092905516
"Evento 4" 13,883427708 105 7,93338726171428 86,7714231875 7,93338726171428 12,4 95 7,83157894736842 28,125 11,328 0 0 0 0 15,66335772 70 65 9,32851708
"Evento 5" 5,553371082 60 5,553371082 104,1257078125 8,55428571428571 5 50 6 21,875 12,5 23,32415854 18,2 60,80941334 50,8 16,91 75 80 13,08545527
"Evento 6" 24,4348327694304 340 4,31202931225242 173,542846375 15,2025 23,4 400 3,51 44,7916666666667 17,1692307692308 3,332022648 2,8 3,332022648 2,8 23,8935222765016 320 325 11,80995624
"Evento 7" 3,054354095 55 3,33202264909091 69,4171385625 6 2,8 65 2,58461538461539 11,4583333333333 8,8 26,6561812 24,2 29,98820385 27 14,28 75 80 12,88688288
"Evento 8" 19,43679879 85 13,7200932635294 312,37 27,6 15,4 45 20,5333333333333 66,66665 51,2 20,26980446 19,2 46,92598566 43,4 36,39 55 60 13,01471723
"Evento 9" 5,27570253 25 12,661686072 69,4171385625 12,661686072 5 35 8,57142857142857 25 19,2 9,718399394 9 29,98820385 28,2 16,53 45 50 13,70947029
"Evento 10" 3,609691202 50 4,3316294424 34,70856925 4,98 3,4 65 3,13846153846154 8,33333333333333 5,48571428571429 9,718399394 9 29,98820385 28,2 17,00642229 80 85 14,35542148
"Evento 11" 1,943679879 30 3,887359758 52,0628539375 6,66 1,6 15 6,4 25 6,4 1,943679879 1,8 11,66207927 10,8 15,77 30 35 14,62274641
"Evento 12" 19,15913024 45 25,5455069866667 485,919969875 37,76 18 65 16,6153846153846 48,95825 37,6 19,9921359 18,6 21,93581578 20,4 34,01 45 50 13,80053807
"Evento 13" 24,434832766 220 6,66404529981819 138,83 8,59741935483871 22,2 235 5,66808510638298 38,5416666666667 29,6 25,26783843 22,8 25,54550698 23,2 17,61743855 52 57 12,40154251
"Evento 14" 35,26390638 285 7,42398029052632 190,897131 16,326 32,4 285 6,82105263157895 55,2083325 42,4 27,48918687 22 27,48918687 22 50,71441142 170 175 11,8045422
"Evento 15" 10,829073614 95 6,83941491410526 156,18856175 19,98 10 95 6,31578947368421 28,125 21,6 18,88146168 20,8 46,37064855 42,8 17,39260112 120 125 12,99085281
"Evento 16" 34,153232165 150 13,661292866 381,794262 17,8690909090909 31,6 135 14,0444444444444 73,958325 19,3642105263158 0,555337108 0,2 0,555337108 0,2 45,26517719 90 95 12,93271574
"Evento 17" 7,774719514 150 3,1098878056 52,0628539375 6,66666666666667 6,8 155 2,63225806451613 15,625 5,86666666666667 15,54943903 13,2 54,14536806 49 17,13227413 100 105 12,37489418
"Evento 18" 23,601827102 290 4,88313664179311 104,1257078125 5,04 20,6 275 4,49454545454545 33,3325 13,0285714285714 33,8755636 28,6 49,42500263 41,8 34,53606609 95 100 13,74535505
"Evento 19" 21,935815779 180 7,311938593 121,4799924375 11,6666666666667 19,6 195 6,03076923076923 41,665 4,8 23,87949566 21,2 57,75505926 49,8 42,28595305 145 150 17,86879795
"Evento 20" 4,442696865 115 2,31792879913043 69,4171385625 6,66 4 100 2,4 10,415 3,2 8,330056622 7,6 23,60182709 21,4 18,35249324 115 120 15,97009216
"Evento 21" 2,776685541 40 4,1650283115 52,0628539375 4,9998 2,2 35 3,77142857142857 6,25 8 8,330056622 7,6 23,60182709 21,4 18,85429234 65 60 16,71258115
"Evento 22" 4,442696868 45 5,923595824 52,0628539375 7,13142857142857 4,2 65 3,87692307692308 11,45833325 8,8 9,718399394 8,6 14,71643337 13,8 15,8335669 45 85 12,46021879
"Evento 23" 4,998033975 80 3,74852548125 121,4799924375 13,329 4,4 35 7,54285714285714 29,6875 22,8 8,330056623 7,6 8,607725177 7,8 16,85252767 95 100 15,66871795
"Evento 24" 1,666011324 50 1,9992135888 17,354284625 3,33 0,6 10 3,6 4,6875 3,6 8,330056623 7,6 8,607725177 7,8 16,02135507 45 10 15,67080298
"Evento 25" 56,6443850520001 250 13,59465241248 399,15 21,3724137931034 53,6 245 13,1265306122449 91,6666666666667 70,4 58,31039638 55 66,640453 62,6 98,17500903 155 170 14,58867364
"Evento 26" 2,6 70 2,22857142857143 10,4166666666667 8 2,6 70 2,22857142857143 10,4166666666667 8 0,277668554 4,4 0,277668554 4,4 13,35270541 0 70 12,52651709
"Evento 27" 28,8 245 7,0530612244898 95,3125 7,53488372093023 28,8 245 7,0530612244898 95,3125 7,53488372093023 0 34,4 0 38 42,49493414 0 195 11,73557842
"Evento 28" 10 335 1,7910447761194 9,375 1,7910447761194 10 335 1,7910447761194 9,375 1,7910447761194 0 11,8 0 46,2 14,51628153 0 280 11,72836077
"Evento 29" 24 155 9,29032258064516 87,5 9,29032258064516 24 155 9,29032258064516 87,5 9,29032258064516 0 26,8 0 43,8 39,52057334 0 60 11,93872302
"Evento 30" 4,4 35 7,54285714285714 23,4375 5,6 4,4 35 7,54285714285714 23,4375 5,6 0 10,6 0 10,6 15,54845193 0 35 12,73464186
"Evento 31" 40 285 8,42105263157895 103,125 12 40 285 8,42105263157895 103,125 12 0 40 0 42,6 85,4136301 0 240 11,88394218
"Evento 32" 7,2 35 12,3428571428571 43,75 17,28 7,2 35 12,3428571428571 43,75 17,28 0 17,4 0 17,4 21,8060595 0 60 14,99137199
"Evento 33" 12 70 10,2857142857143 45,8333333333333 11,0769230769231 12 70 10,2857142857143 45,8333333333333 11,0769230769231 0 13 0 30,4 37,98597122 0 60 15,72364296
"Evento 34" 10,2 95 6,44210526315789 19,7916666666667 6,44210526315789 10,2 95 6,44210526315789 19,7916666666667 6,44210526315789 0 22,2 0 35,2 22,39237374 0 120 15,77923532
"Evento 35" 3,4 65 3,13846153846154 7,29166666666667 3,13846153846154 3,4 65 3,13846153846154 7,29166666666667 3,13846153846154 0 22,2 0 35,2 21,27538181 0 70 19,29835502
"Evento 36" 2,8 65 2,58461538461538 6,25 2,58461538461538 2,8 65 2,58461538461538 6,25 2,58461538461538 0 8,2 0 30,4 20,79397445 0 80 18,78527424
"Evento 37" 2,6 35 4,45714285714286 6,875 1,85714285714286 2,6 35 4,45714285714286 6,875 1,85714285714286 0,277668554 14,4 0,277668554 14,6 13,97180124 40 50 13,2536493
"Evento 38" 1,8 95 1,13684210526316 3,125 1,13684210526316 1,8 95 1,13684210526316 3,125 1,13684210526316 0,277668554 14,4 0,277668554 14,6 14,10636772 0 110 13,86045494
"Evento 39" 7 305 1,37704918032787 5,20833333333333 1,37704918032787 7 305 1,37704918032787 5,20833333333333 1,37704918032787 0,277668554 14,4 0,277668554 14,6 15,51404041 0 325 14,04323686
